"";"REFSEQ_MRNA";"logFC"
"ILMN_3238137";"XM_001723587";-0,592332820716361
"ILMN_3249331";"XM_001714800";-0,521916607619881
"ILMN_3234547";"XM_001719081";0,385824396330728
"ILMN_3235597";"NR_024333";-0,255646673289204
"ILMN_1815141";"XM_939682";0,670254983514847
"ILMN_1666384";"XM_045290";1,34749724415154
"ILMN_1711845";"NR_003266";0,359933200030735
"ILMN_1803953";"XM_939954";-0,179527381333077
"ILMN_3284584";"XR_038919";-0,365728797800291
"ILMN_3202024";"XR_037197";-0,380242101171351
"ILMN_1779832";"XM_375081";-0,343436748122439
"ILMN_3203098";"XR_037962";0,62235397215747
"ILMN_3201604";"XR_016922";-0,446323770029966
"ILMN_1799069";"XM_496071";0,625391113930244
"ILMN_2147105";"NM_001018059";-0,453432541921188
"ILMN_2191759";"NR_002943";0,260939799693589
"ILMN_3244506";"NR_003665";-0,248863725633303
"ILMN_2231608";"NM_001008747";0,495215206930642
"ILMN_1682711";"XM_927836";-0,272544487744794
"ILMN_1692198";"XM_935531";-0,548275829167263
"ILMN_3286312";"XR_016116";0,708542084311079
"ILMN_1779032";"XM_926594";-0,61663892033499
