"";"ID";"SYMBOL";"b1Mean";"b0Mean";"b1b0log2FC";"b1stderr";"b0stderr";"b0b1stderr";"Posterior_class_a";"Posterior_class_b";"Posterior_class_c";"Posterior_class_d"
"1627";"ILMN_2113728";"FLJ31568";" 5.92";" 7.27";"-1.3553";"0.27901";"0.13276";"0.30899";"0.0827";"0.799";"0.0738";"0.0447"
"1628";"ILMN_1719749";"PTGES3";"11.57";"11.10";" 0.4651";"0.08226";"0.04174";"0.09224";"0.0408";"0.799";"0.1503";"0.0102"
"1629";"ILMN_1699082";"MAPKAPK5";" 7.95";" 7.57";" 0.3744";"0.03479";"0.09191";"0.09827";"0.1637";"0.799";"0.0278";"0.0098"
"1630";"ILMN_1807439";"ALDH1A3";"12.41";"12.02";" 0.3917";"0.06605";"0.05173";"0.08390";"0.0605";"0.798";"0.1261";"0.0149"
"1631";"ILMN_1786021";"PRKAB2";" 6.42";" 6.66";"-0.2413";"0.04164";"0.04812";"0.06364";"0.1670";"0.798";"0.0177";"0.0173"
"1632";"ILMN_1657475";"GALT";" 6.66";" 7.34";"-0.6775";"0.12648";"0.11113";"0.16837";"0.1259";"0.798";"0.0367";"0.0396"
"1633";"ILMN_3267017";"LOC100129028";"12.58";"12.84";"-0.2574";"0.05311";"0.01740";"0.05589";"0.0647";"0.798";"0.1027";"0.0348"
"1634";"ILMN_1682930";"SIPA1";" 6.07";" 6.76";"-0.6851";"0.13383";"0.06859";"0.15038";"0.0683";"0.798";"0.1042";"0.0298"
"1635";"ILMN_3223826";"SPNS2";" 5.60";" 4.94";" 0.6603";"0.09055";"0.14672";"0.17241";"0.1594";"0.798";"0.0231";"0.0198"
"1636";"ILMN_1659766";"BAG3";"10.28";"10.11";" 0.1774";"0.04647";"0.01029";"0.04760";"0.1812";"0.797";"0.0120";"0.0092"
"1637";"ILMN_1785179";"UBE2G2";" 8.09";" 7.76";" 0.3307";"0.04559";"0.06494";"0.07935";"0.1062";"0.797";"0.0745";"0.0218"
"1638";"ILMN_3271218";"LOC100128737";" 5.45";" 5.15";" 0.3089";"0.05016";"0.06509";"0.08218";"0.1740";"0.797";"0.0160";"0.0127"
"1639";"ILMN_1778917";"CDK7";"10.28";" 9.63";" 0.6493";"0.12485";"0.01293";"0.12552";"0.0356";"0.797";"0.1551";"0.0125"
"1640";"ILMN_1652082";"ELF4";" 9.25";" 9.68";"-0.4300";"0.06775";"0.06378";"0.09305";"0.0635";"0.797";"0.1276";"0.0123"
"1641";"ILMN_3234841";"LOC728517";"14.10";"13.89";" 0.2016";"0.02796";"0.04580";"0.05366";"0.1743";"0.796";"0.0198";"0.0096"
